COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP
Huntington Hills CA,Arena,,520 78 AV NW,CA,Not-for-Profit,Parks,Huntington Hills CA,Huntington Hills CA,http://www.huntingtonhillscalgary.com/,403-275-6666,"Ice rink, curling (8 sheets), meeting room, main hall",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,Y,8,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Crowfoot Arena,Arena,,8080 JOHN LAURIE BV NW,CMHA,Not-for-Profit,Parks,Crowfoot Minor Hockey Assoc.,Crowfoot Arena,http://www.crowfootarena.com/,403-241-1818,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Carrington Skatepark,Skate Park,,37 CARRINGTON PZ NW,Parks,Municipal,Parks,Parks,Carrington Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Shane Homes YMCA at Rocky Ridge,Leisure Centre,,11300 ROCKY RIDGE RD NW,YMCA,Not-for-Profit,Recreation,YMCA Calgary,Shane Homes YMCA at Rocky Ridge,https://www.ymcacalgary.org/program-descriptions/locations/shane-homes-ymca-at-rocky-ridge/,403-351-6673,"25m pool, wave pool, 'lazy river', NHL ice, leisure rink, 3 gyms, strength and conditioning centre, 180m running track, climbing wall, 3 fitness studios",3,N,Y,3,0,0,Y,N,1,0,0,8,N,Y,N,N,N,N,N,0,0,N,N,Y,N,Y,Y,N,N,Y,0,1,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Flames Community Arenas,Arena,,2390 47 AV SW,SRG,Not-for-Profit,South West Arena Society,South West Arena Society,Flames Community Arenas,http://www.flamesca.com/site/3333/page.asp?Site=9879&LeagueID=9879&page=news_basic,403-243-8484,"Ice rink, 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,1,1,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Riley Park Wading Pool,Outdoor Wading Pool,,800 12 ST NW,Parks,Municipal,Recreation,Recreation,Riley Park Wading Pool,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Riley-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Rose Kohn and Jimmy Condon Arenas,Arena,,502 HERITAGE DR SW,Recreation,Municipal,Recreation,Recreation,Rose Kohn Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Rose-Kohn-and-Jimmie-Condon.aspx,311,"185'x85' ice rink (220 seat cap), 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
West Hillhurst CA,Arena,,1940 6 AV NW,CA,Not-for-Profit,Recreation,West Hillhurst CA,West Hillhurst CA,https://www.westhillhurst.com/,403-283-0464,"Ice rink / dry pad, gym, fitness/weights, dance studio, 3 squash courts, 3 tennis courts",1,N,Y,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,Y,3,0,0,3,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Forbes Innes Arena,Arena,,5600 CENTRE ST NE,CA,Not-for-Profit,Parks,Thorncliffe / Greenview CA,Forbes Innes Arena,https://www.tgcacalgary.com/,403-274-6840,"Ice rink / dry pad, gym, 2 fitness rooms, 4 meeting rooms",1,N,N,2,0,4,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,Y,0,1,N,0,1,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Acadia Recreation Complex,Arena,,240 90 AV SE,CA,Not-for-Profit,Parks,Acadia CA,Acadia Recreation Complex,http://www.acadiaca.com/acadia-recreation-complex/,403-255-1252,"Ice rink, curling (10 sheets), 5 squash and racquetball courts",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,Y,10,Y,0,1,Y,5,5,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Ernie Starr Arena,Arena,,4808 14 AV SE,Recreation,Municipal,Recreation,Recreation,Ernie Starr Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Ernie-Starr.aspx,311,185'x85' ice rink (300 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Trico Centre for Family Wellness,Leisure Centre,,11150 BONAVENTURE DR SE,FLCASC,Not-for-Profit,Parks,Family Leisure Centre Assoc. of Southeast Calgary,Trico Centre for Family Wellness,https://www.tricocentre.ca/,403-278-7542,"2 ice rinks, running track, fitness/weights, gym, 3 fitness studios, hot tub, steam room, wave pool, meeting rooms",1,N,Y,2,5,6,Y,N,0,0,0,0,N,Y,N,N,N,N,N,0,0,N,Y,Y,N,N,Y,N,N,Y,0,2,0,N,N,0,N,0,0,N,0,0,0,0,N,0,Y,N,N,N,N,N,N,N,N,N,Y,N,N
Triwood CA,Arena,,2244 CHICOUTIMI DR NW,CA,Not-for-Profit,Parks,Triwood CA,Triwood CA,https://www.triwoodcommunity.com/,403-282-2677,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
